STT,Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Ngành ICB - cấp 2,Ngành ICB - cấp 3,Ngành ICB - cấp 4
1387,SBS,Chứng khoán Sacombank,UPCoM,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
1388,SCC,Thương mại Đầu tư SHB,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
1389,SCD,Giải khát Chương Dương,UPCoM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Đồ uống & giải khát
1390,SCJ,Xi măng Sài Sơn,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
1391,SCL,Sông Đà Cao Cường,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
1392,SCO,Công nghiệp Thủy Sản,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp
1393,SCY,Đóng tàu Sông Cấm,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Xe tải & Đóng tàu
1394,SD1,Sông Đà 1,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
1395,SD2,Sông Đà 2,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
1396,SD3,Sông Đà 3,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
1397,SD4,Sông Đà 4,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
1398,SD6,Sông Đà 6,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
1399,SD7,Sông Đà 7,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
1400,SD8,Sông Đà 8,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
1401,SDB,Sông Đà 207,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
1402,SDD,Xây lắp Sông Đà,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
1403,SDJ,Sông Đà 25,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
1404,SDK,Cơ khí Luyện Kim,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp
1405,SDP,Công ty Cổ phần SDP,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
1406,SDT,Sông Đà 10,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
1407,SDV,Dịch vụ Sonadezi,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Chất thải & Môi trường
1408,SDX,PCCC và Đầu tư XD Sông Đà,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
1409,SDY,Xi măng Sông Đà Yaly,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
1410,SEA,SEAPRODEX,UPCoM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
