STT,Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Ngành ICB - cấp 2,Ngành ICB - cấp 3,Ngành ICB - cấp 4
812,BSG,Xe khách Sài Gòn,UPCoM,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Vận tải hành khách & Du lịch
813,BSH,Bia Sài Gòn - Hà Nội,UPCoM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia
814,BSL,Bia Sài Gòn - Sông Lam,UPCoM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia
815,BSP,Bia Sài Gòn - Phú Thọ,UPCoM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia
816,BSQ,Bia Sài Gòn - Quảng Ngãi,UPCoM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia
817,BT1,Bảo vệ thực vật 1 TW,UPCoM,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
818,BT6,Bê tông 6,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
819,BTB,Bia Hà Nội - Thái Bình,UPCoM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia
820,BTD,Bê tông ly tâm Thủ Đức,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
821,BTG,Bao bì Tiền Giang,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói
822,BTH,Biến thế và Vật liệu Điện Hà Nội,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Thiết bị điện
823,BTN,Gạch Tuy Nen Bình Định,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
824,BTU,Công trình Đô thị Bến Tre,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Chất thải & Môi trường
825,BTV,DV Du lịch Bến Thành,UPCoM,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Vận tải hành khách & Du lịch
826,BVB,Ngân hàng Bản Việt - BVBank,UPCoM,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng
827,BVG,Group Bắc Việt,UPCoM,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
828,BVL,BV Land,UPCoM,Tài chính,Bất động sản,Bất động sản,"Tư Vấn, Định giá, Môi giới Bất động sản"
829,BVN,Bông Việt Nam,UPCoM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng cá nhân
830,BWA,Cấp thoát nước và Xây dựng Bảo Lộc,UPCoM,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
831,BWS,Cấp Nước Bà Rịa Vũng Tàu,UPCoM,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
832,C12,Cầu 12,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
833,C21,Thế kỷ 21,UPCoM,Tài chính,Bất động sản,Bất động sản,Bất động sản
834,C22,Công ty 22,UPCoM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
835,C4G,Tập Đoàn Cienco4,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
836,C92,Xây dựng và Đầu tư 492,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
837,CAD,Thủy sản Cadovimex,UPCoM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
838,CAF,Xuất nhập khẩu Nông Sản Thực Phẩm Cà Mau,UPCoM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
839,CAT,Thủy sản Cà Mau,UPCoM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
840,CBI,Gang thép Cao Bằng,UPCoM,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
841,CBS,Mía đường Cao Bằng,UPCoM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
842,CBV,CTCBIO Việt Nam,UPCoM,Dược phẩm và Y tế,Y tế,Thiết bị và Dịch vụ Y tế,Chăm sóc y tế
843,CC1,TCT Xây dựng số 1,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
844,CC4,ĐT và XD số 4,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
845,CCA,XNK Thuỷ sản Cần Thơ,UPCoM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
846,CCC,Xây Dựng CDC,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
847,CCD,XD và Bảo trì cầu đường,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
848,CCM,Xi măng Cần Thơ,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
849,CCP,Cảng Cửa Cấm,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
850,CCS,Chíp Sáng,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Thiết bị điện
851,CCT,Cảng Cần Thơ,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
852,CCV,XD CN và đô thị Việt Nam,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
853,CDG,VLXD Cầu Đuống,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
854,CDH,CTCC và DV Du lịch Hải Phòng,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Chất thải & Môi trường
855,CDO,Tư vấn Thiết kế và PT Đô thị,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
856,CDP,Dược phẩm TW Codupha,UPCoM,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm
857,CDR,Xây dựng Cao su Đồng Nai,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
858,CE1,Thiết bị Công nghiệp CIE1,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp
859,CEG,XD và Thiết bị Công nghiệp,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
860,CEN,CENCON Việt Nam,UPCoM,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Bán lẻ phức hợp
861,CFM,Đầu tư CFM,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Đào tạo & Việc làm
862,CFV,Cà phê Thắng Lợi,UPCoM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Đồ uống & giải khát
863,CGV,Vinaceglass JSC,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
864,CH5,Xây dựng số 5 Hà Nội,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
865,CHC,Nội thất Cẩm Hà,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
866,CHS,Chiếu sáng TPHCM,UPCoM,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Tiện ích khác
867,CI5,Đầu tư Xây dựng số 5,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
868,CID,Xây dựng và Phát triển Cơ sở Hạ tầng,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
869,CIP,XL và SX công nghiệp,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
870,CK8,Cơ khí 120,UPCoM,Tài chính,Bất động sản,Bất động sản,Bất động sản
871,CKA,Cơ khí An Giang,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp
872,CKD,Đông Anh Licogi,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp
873,CLG,Cotec Land,UPCoM,Tài chính,Bất động sản,Bất động sản,Bất động sản
874,CLX,XNK và ĐT Chợ Lớn (CHOLIMEX),UPCoM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
875,CMD,VLXD và Nội thất TP.HCM,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
876,CMF,Thực phẩm Cholimex,UPCoM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
877,CMI,CMISTONE Việt Nam,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
878,CMK,Cơ khí Mạo Khê - Vinacomin,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp
879,CMM,Camimex,UPCoM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
880,CMN,Colusa -  Miliket,UPCoM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
881,CMP,Cảng Chân Mây,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
882,CMT,CN mạng và Truyền thông,UPCoM,Công nghệ Thông tin,Công nghệ Thông tin,Phần mềm & Dịch vụ Máy tính,Phần mềm
883,CMW,Cấp nước Cà Mau,UPCoM,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
884,CNA,Tổng công ty Chè Nghệ An - CTCP,UPCoM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
885,CNC,Công nghệ cao Traphaco,UPCoM,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm
886,CNN,Xây dựng Coninco,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
887,CNT,Tập đoàn CNT,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
888,CPA,Cà phê Phước An,UPCoM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Đồ uống & giải khát
889,CPH,PV mai táng Hải Phòng,UPCoM,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Dịch vụ tiêu dùng chuyên ngành
890,CPI,Đầu tư Cảng Cái Lân,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
891,CQN,Cảng Quảng Ninh,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
892,CQT,Xi măng Quán Triều VVMI,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
893,CSI,Chứng khoán Kiến thiết VN,UPCoM,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
894,CT3,Xây dựng công trình 3,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
895,CT6,Công trình 6,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
896,CTA,Xây dựng Vinavico,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
897,CTC,Tập đoàn Hoàng Kim Tây Nguyên,UPCoM,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Vận tải hành khách & Du lịch
898,CTN,VINAVICO,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
899,CTW,Cấp thoát nước Cần Thơ,UPCoM,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
900,CTX,CONSTREXIM,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
901,CYC,Gạch men Chang YIH,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
902,DAC,CTCP 382 Đông Anh,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
903,DAG,TĐ Nhựa Đông Á,UPCoM,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
904,DAN,Dược Danapha,UPCoM,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm
905,DAS,Thiết bị Dầu khí Đà Nẵng,UPCoM,Hàng Tiêu dùng,Ô tô và phụ tùng,Ô tô và phụ tùng,Sản xuất ô tô
906,DBM,BAMEPHARM,UPCoM,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm
907,DC1,Phát triển Xây dựng số 1 (DIC1),UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
908,DCF,XD và Thiết kế số 1,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
909,DCG,May Đáp Cầu,UPCoM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
910,DCH,Địa chính Hà Nội,UPCoM,Tài chính,Bất động sản,Bất động sản,"Tư Vấn, Định giá, Môi giới Bất động sản"
911,DCR,Gạch men COSEVCO,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
912,DCS,Đại Châu,UPCoM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng gia dụng,Thiết bị gia dụng
913,DCT,Tấm lợp VLXD Đồng Nai,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
914,DDB,TM & XD Đông Dương,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
915,DDH,Đảm bảo GTĐT Hải Phòng,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
916,DDM,Hàng hải Đông Đô,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy
917,DDN,Dược - TB Y tế Đà Nẵng,UPCoM,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm
918,DDV,DAP - Vinachem,UPCoM,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
919,DFC,Xích líp Đông Anh,UPCoM,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
920,DFF,Tập đoàn Đua Fat,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
921,DGT,Công trình GT Đồng Nai,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
922,DHB,Đạm Hà Bắc,UPCoM,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
923,DHD,Dược Vật Tư Y Tế Hải Dương,UPCoM,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm
924,DHN,Dược Hà Nội,UPCoM,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm
925,DHQ,Duyên hải Quảng Ninh,UPCoM,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Khách sạn
926,DIC,ĐT và TM DIC,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
927,DID,DIC - Đồng Tiến,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
928,DKC,Chợ Lạng Sơn,UPCoM,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Bán lẻ phức hợp
929,DKG,Vôi Công Nghiệp DLH,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
930,DKW,Cấp nước sinh hoạt Châu Thành,UPCoM,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
931,DLD,Du lịch Đắk Lắk,UPCoM,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Khách sạn
932,DLR,Địa ốc Đà Lạt,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
933,DLT,Du lịch và TM - Vinacomin,UPCoM,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Vận tải hành khách & Du lịch
934,DM7,Dệt may 7,UPCoM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
935,DMH,Dược Minh Hải,UPCoM,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm
936,DMN,Domenal,UPCoM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
937,DMS,Dầu khí DMC-miền Nam,UPCoM,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt
938,DNA,Điện nước An Giang,UPCoM,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
939,DND,XD và Vật liệu Đồng Nai,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
940,DNE,Môi trường Đô thị Đà Nẵng,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Chất thải & Môi trường
941,DNH,Thủy điện Đa Nhim-Hàm Thuận-Đa Mi,UPCoM,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
942,DNL,Logistics Cảng Đà Nẵng,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
943,DNM,Y tế Danameco,UPCoM,Dược phẩm và Y tế,Y tế,Thiết bị và Dịch vụ Y tế,Dụng cụ y tế
944,DNN,Cấp nước Đà Nẵng,UPCoM,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
945,DNT,Du lịch Đồng Nai,UPCoM,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Dịch vụ giải trí
946,DNW,Cấp nước Đồng Nai,UPCoM,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
947,DO3,Kinh doanh Địa ốc 3,UPCoM,Tài chính,Bất động sản,Bất động sản,Bất động sản
948,DOC,Vật tư nông nghiệp Đồng Nai,UPCoM,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
949,DOP,Vận tải XD Đồng Tháp,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Dịch vụ vận tải
950,DP1,Dược phẩm Trung ương CPC1,UPCoM,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm
951,DP2,Dược phẩm TW 2,UPCoM,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm
952,DPC,Nhựa Đà Nẵng,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói
953,DPH,Dược phẩm Hải Phòng,UPCoM,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm
954,DPP,Dược Đồng Nai,UPCoM,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm
955,DPS,Đầu tư Phát triển Sóc Sơn,UPCoM,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
956,DRG,Cao su Đắk Lắk,UPCoM,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
957,DRI,Đầu tư Cao su Đắk Lắk,UPCoM,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
958,DSD,DHC Suối Đôi,UPCoM,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Dịch vụ giải trí
959,DSG,Kính Đáp Cầu,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
960,DSP,Dịch vụ Du lịch Phú Thọ,UPCoM,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Vận tải hành khách & Du lịch
961,DTB,Công trình Đô thị Bảo Lộc,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Chất thải & Môi trường
962,DTE,Đại Trường Thành Holdings,UPCoM,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
963,DTH,Vật tư Y tế Thanh Hóa,UPCoM,Dược phẩm và Y tế,Y tế,Thiết bị và Dịch vụ Y tế,Thiết bị y tế
964,DTI,Đầu tư Đức Trung,UPCoM,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Khách sạn
965,DTP,Dược phẩm CPC1 Hà Nội,UPCoM,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm
966,DUS,Dịch vụ Đô thị Đà Lạt,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Chất thải & Môi trường
967,DVC,TM dịch vụ Cảng Hải Phòng,UPCoM,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt
968,DVG,Tập đoàn Sơn Đại Việt,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
969,DVN,Tổng Công ty Dược Việt Nam,UPCoM,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm
970,DVW,DV và XD cấp nước Đồng Nai,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
971,DWC,Cấp nước Đắk Lắk,UPCoM,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
972,DWS,Cấp nước Đồng Tháp,UPCoM,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
973,DXL,Du lịch và Xuất nhập khẩu Lạng Sơn,UPCoM,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Khách sạn
974,DZM,Cơ điện Dzĩ An,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp
975,E12,XD Điện VNECO 12,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
976,E29,Đầu tư XD và Kỹ thuật 29,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
977,ECO,Ecoplastic VN,UPCoM,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
978,EFI,Tài chính giáo dục,UPCoM,Tài chính,Bất động sản,Bất động sản,Bất động sản
979,EGL,"Urenco Gia Lam.,Jsc",UPCoM,,,,
980,EIC,EVN Quốc Tế,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
981,EIN,Đầu tư - TM - DV Điện lực,UPCoM,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Khách sạn
982,EME,Điện Cơ,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Thiết bị điện
983,EMG,Thiết bị phụ tùng cơ điện,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Thiết bị điện
984,EMS,Chuyển phát nhanh Bưu điện,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Chuyển phát nhanh
985,EPC,Cà Phê Ea Pốk,UPCoM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Đồ uống & giải khát
986,EPH,Xuất bản giáo dục Hà Nội,UPCoM,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa"
987,ESL,Tiếp vận Đông Sài Gòn,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
988,FBA,Tập đoàn Quốc tế FBA,UPCoM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng gia dụng,Thiết bị gia dụng
989,FBC,Cơ khí Phổ Yên,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp
990,FCC,Liên hợp Thực phẩm,UPCoM,Tài chính,Bất động sản,Bất động sản,Bất động sản
991,FCS,Lương thực TP Hồ Chí Minh,UPCoM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
992,FGL,Cà Phê Gia Lai,UPCoM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Đồ uống & giải khát
993,FHH,FLCHomes,UPCoM,Tài chính,Bất động sản,Bất động sản,Bất động sản
994,FHN,XNK lương thực Hà Nội,UPCoM,Dịch vụ Tiêu dùng,Bán lẻ,Phân phối thực phẩm & dược phẩm,Phân phối thực phẩm
995,FHS,Phát hành sách TP HCM - FAHASA,UPCoM,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa"
996,FIC,VLXD số 1,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
997,FLC,Tập đoàn FLC,UPCoM,Tài chính,Bất động sản,Bất động sản,Bất động sản
998,FOC,FPT Online,UPCoM,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,Dịch vụ truyền thông
999,FOX,FPT Telecom,UPCoM,Viễn thông,Viễn thông,Viễn thông cố định,Viễn thông cố định
